#{"t_start": 1620066158.1902986, "env_id": "BipedalWalker-v3"}
r,l,t
-115.31987,55,0.193718
-118.072806,56,0.364406
-114.612209,52,0.515263
-117.221159,50,0.679379
-111.45877,59,0.854134
-119.402681,52,1.002347
-205.409523,980,3.840523
-113.197527,288,4.670531
-115.351238,62,4.849701
-116.796364,66,5.031337
-104.421681,81,5.268897
-138.823739,164,5.720067
-106.094396,83,5.975795
-107.25821,51,6.117554
-121.800063,81,6.346901
-162.532502,1136,9.526766
-128.682586,497,10.947725
-115.965828,73,11.163711
-105.67045,186,11.681122
-109.33002,150,12.085858
-123.696749,288,12.915616
-104.429542,38,13.024722
-107.777254,68,13.219225
-103.203971,53,13.370467
-107.095158,37,13.469096
-140.977093,543,14.997896
-106.267362,134,15.384329
-104.290899,75,15.599793
-149.462218,797,17.80987
-84.421063,1600,22.305736
-88.48932,1600,26.71535
-92.579364,1600,31.176448
-184.045022,1478,35.226485
-109.10994,58,35.399725
-122.653429,573,37.050703
-106.291883,61,37.223374
-106.301269,67,37.423193
-122.168261,432,38.597966
-104.389048,81,38.816002
-104.667178,50,38.956042
-108.795884,141,39.373124
-102.882133,56,39.53649
-108.107564,64,39.723157
-106.870547,41,39.848344
-104.337965,40,39.961257
-116.965009,68,40.156514
-90.163488,1600,44.60273
-85.328517,1600,49.117503
-156.902762,889,51.588101
-116.452639,131,51.949319
-112.976721,232,52.582746
-106.059125,59,52.786734
-107.14649,70,52.980089
-120.979081,100,53.270988
-109.404925,57,53.434261
-107.51233,100,53.727048
-108.707896,53,53.882099
-101.481675,57,54.036341
-104.809557,87,54.308579
-105.832353,36,54.412063
-103.181391,80,54.628699
-115.01129,87,54.87643
-108.656924,41,54.9914
-91.862822,1600,59.354992
-104.443427,40,59.471216
-110.909815,130,59.842498
-117.02274,84,60.084436
-115.765834,271,60.852499
-118.716931,85,61.088758
-117.871516,85,61.354337
-103.887152,54,61.514949
-118.627344,135,61.897281
-104.911294,67,62.10457
-108.86935,84,62.374875
-105.309211,67,62.57636
-107.450442,180,63.09375
-103.054148,65,63.287526
-104.856154,45,63.423185
-105.44983,44,63.555157
-109.110669,147,63.970589
-83.67472,1600,68.426667
-103.46914,66,68.612149
-109.249015,114,68.956102
-111.188447,142,69.366029
-106.611942,51,69.51039
-106.875742,59,69.684496
-108.669521,87,69.937816
-105.838486,43,70.065329
-91.065513,1600,74.546238
-104.326776,42,74.685343
-104.748428,100,74.953448
-98.494807,1600,79.44194
-114.798074,66,79.632703
-117.063246,1600,84.071937
-136.972561,1600,88.515291
-122.677969,169,89.009824
-102.530443,1600,93.510582
-108.006921,44,93.634792
-105.382549,63,93.83102
-105.656642,41,93.94217
-117.829918,167,94.398149
-96.628925,1600,98.941016
-105.992509,1600,103.451193
-106.976281,1600,107.884952
-108.974381,84,108.126703
-106.096156,39,108.236446
-114.220383,116,108.551206
-106.442437,1600,112.9919
-103.927382,50,113.138894
-107.608429,70,113.329572
-108.462542,39,113.447848
-109.571617,59,113.606781
-110.045819,62,113.776119
-115.554491,1600,118.219721
-107.270287,36,118.319596
-98.30787,1600,122.790715
-106.789709,50,122.940554
-121.563491,1600,127.435598
-101.639442,1600,131.964081
-122.347681,1600,136.424516
-105.382814,51,136.563951
-109.000626,62,136.759543
-110.597892,38,136.862994
-105.244384,63,137.050202
-106.765868,40,137.161028
-106.457582,46,137.302206
-110.539947,53,137.444299
-117.531793,1600,141.945202
-111.74404,66,142.137095
-120.8652,1600,146.656151
-117.77101,1600,151.207297
-107.714778,70,151.407276
