#{"t_start": 1620067622.3063312, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-124.42117,73,0.212037
-153.988264,837,2.560064
-98.993474,68,2.764241
-103.51276,53,2.920118
-102.456315,52,3.080574
-119.45701,95,3.35927
-102.057246,76,3.586983
-98.365809,72,3.812748
-101.704919,108,4.147429
-103.699176,61,4.343714
-122.16926,93,4.623972
-104.165329,66,4.824869
-106.662932,47,4.967053
-119.214095,74,5.184682
-105.614934,79,5.412573
-104.966228,59,5.58553
-113.637296,60,5.752644
-197.15451,1430,9.832171
-115.699878,69,10.026829
-153.585637,985,12.897517
-148.395387,781,15.104431
-102.740764,46,15.237729
-104.000422,50,15.385287
-105.196943,59,15.562653
-102.530735,52,15.712102
-115.819088,85,15.962084
-156.997942,915,18.687396
-100.703188,72,18.914351
-103.106844,84,19.169062
-101.3882,61,19.350866
-125.796729,368,20.401746
-102.834302,66,20.603045
-99.494487,163,21.073501
-145.794285,628,22.95169
-102.039495,63,23.13394
-115.55766,91,23.42123
-104.943388,42,23.541347
-102.862781,60,23.712928
-102.508321,71,23.910229
-104.845312,66,24.093925
-102.054952,54,24.250399
-110.126384,85,24.493954
-103.512055,47,24.631761
-102.119138,53,24.781882
-104.765546,110,25.110271
-104.566513,67,25.322086
-105.774536,142,25.733085
-102.826786,64,25.917178
-105.004454,43,26.053528
-104.022194,49,26.219338
-106.715323,44,26.35022
-102.940138,64,26.579273
-159.292104,681,28.546701
-108.816957,147,28.973755
-102.002496,55,29.133976
-105.460403,86,29.378956
-102.636201,62,29.559375
-103.319164,50,29.707556
-98.457077,86,29.949798
-96.661965,79,30.18192
-107.934275,79,30.421139
-113.105503,62,30.625317
-110.19855,62,30.813266
-108.542022,55,30.977901
-103.252665,47,31.110939
-106.323936,47,31.248
-98.051771,67,31.447208
-96.340239,111,31.786939
-126.500724,545,33.386554
-113.444107,253,34.155759
-197.313928,1347,37.988582
-101.163039,59,38.170803
-115.103497,347,39.224014
-101.593131,54,39.379478
-104.076619,57,39.547078
-113.384668,69,39.742374
-108.041879,123,40.088175
-104.049846,61,40.262617
-103.057078,56,40.418884
-104.665752,41,40.566349
-101.446549,86,40.812486
-104.086278,58,40.978705
-104.51903,41,41.094845
-127.683711,379,42.185998
-103.677852,51,42.360822
-112.536837,137,42.802354
-96.271202,114,43.160384
-102.418629,64,43.342826
-128.625282,360,44.388739
-102.946755,79,44.632366
-109.504051,65,44.834431
-136.68086,661,46.830729
-102.023742,96,47.128157
-112.009644,126,47.504997
-106.688759,48,47.651323
-107.467309,46,47.801292
-109.418384,45,47.941291
-103.681018,52,48.102765
-100.943368,66,48.308112
-102.286797,75,48.570677
-104.728192,106,48.888945
-103.650801,54,49.070263
-100.90214,103,49.38639
-104.129762,44,49.527975
-105.17822,59,49.701463
-106.162179,41,49.831737
-103.566344,45,49.977559
-129.179297,509,51.496481
-103.779727,59,51.677455
-104.545215,61,51.856801
-104.364099,48,52.008654
-100.849182,66,52.200749
-110.731867,2000,58.027614
-103.997277,44,58.156074
-104.296532,63,58.338321
-166.634714,913,60.967338
-105.436046,39,61.081131
-104.442215,43,61.207177
-104.690726,41,61.32881
-94.585794,96,61.605645
-106.441086,62,61.792979
-102.735642,65,61.984354
-107.328126,64,62.173644
-105.004349,57,62.346337
-102.039165,39,62.461011
-115.777772,110,62.825976
-106.44164,49,62.984254
-100.540434,66,63.174538
-107.578114,42,63.301849
-118.798527,445,64.586878
-105.037751,44,64.71274
-104.443772,50,64.853976
-129.514259,749,66.99728
-106.636185,49,67.142492
-154.324913,871,69.627886
-117.656546,92,69.885932
-140.661301,663,71.791879
-101.510584,96,72.06029
-115.161578,128,72.422316
-102.061622,73,72.667341
-104.071274,65,72.846242
-149.354568,761,75.029938
