#{"t_start": 1620068665.118943, "env_id": "CartPole-v0"}
r,l,t
12.0,12,0.113909
26.0,26,0.175555
25.0,25,0.233918
22.0,22,0.283221
15.0,15,0.320436
27.0,27,0.386005
33.0,33,0.457843
9.0,9,0.480213
20.0,20,0.526
10.0,10,0.549773
44.0,44,0.654135
14.0,14,0.686993
35.0,35,0.767606
30.0,30,0.836899
15.0,15,0.870821
15.0,15,0.905071
28.0,28,0.964592
25.0,25,1.023219
17.0,17,1.066059
16.0,16,1.100821
25.0,25,1.157792
15.0,15,1.191387
20.0,20,1.237537
14.0,14,1.271311
21.0,21,1.317112
27.0,27,1.377437
30.0,30,1.446319
14.0,14,1.481414
25.0,25,1.540055
16.0,16,1.575051
13.0,13,1.608273
26.0,26,1.672812
23.0,23,1.733516
27.0,27,1.797141
36.0,36,1.882291
41.0,41,1.988785
19.0,19,2.031262
12.0,12,2.063068
16.0,16,2.099285
16.0,16,2.137017
13.0,13,2.171967
52.0,52,2.300854
15.0,15,2.336241
20.0,20,2.382572
17.0,17,2.424454
26.0,26,2.49489
14.0,14,2.529772
13.0,13,2.558038
17.0,17,2.60216
18.0,18,2.640997
21.0,21,2.694988
27.0,27,2.765008
10.0,10,2.788428
44.0,44,2.906633
21.0,21,2.967779
11.0,11,3.002245
47.0,47,3.130179
25.0,25,3.198052
15.0,15,3.238768
27.0,27,3.308327
32.0,32,3.389518
18.0,18,3.437956
14.0,14,3.474653
22.0,22,3.526264
12.0,12,3.552968
12.0,12,3.585706
18.0,18,3.624516
16.0,16,3.665979
36.0,36,3.797281
34.0,34,3.877812
12.0,12,3.905213
10.0,10,3.930929
12.0,12,3.959479
18.0,18,4.008369
32.0,32,4.088506
20.0,20,4.151546
16.0,16,4.197302
32.0,32,4.276605
26.0,26,4.342508
11.0,11,4.366164
14.0,14,4.401402
47.0,47,4.516108
19.0,19,4.559932
10.0,10,4.583814
15.0,15,4.621663
12.0,12,4.654986
37.0,37,4.754443
14.0,14,4.796973
18.0,18,4.846463
24.0,24,4.900067
47.0,47,5.021672
33.0,33,5.099388
42.0,42,5.199691
18.0,18,5.237532
17.0,17,5.279438
15.0,15,5.318135
17.0,17,5.35583
12.0,12,5.386289
23.0,23,5.437038
20.0,20,5.482749
80.0,80,5.678816
33.0,33,5.806432
19.0,19,5.851994
28.0,28,5.91706
11.0,11,5.94297
15.0,15,5.979021
48.0,48,6.094709
18.0,18,6.145264
20.0,20,6.197417
17.0,17,6.236651
12.0,12,6.263833
47.0,47,6.382833
38.0,38,6.469988
40.0,40,6.568634
27.0,27,6.638798
25.0,25,6.698983
17.0,17,6.736263
35.0,35,6.823308
13.0,13,6.856097
15.0,15,6.891024
73.0,73,7.06406
38.0,38,7.156062
64.0,64,7.324711
25.0,25,7.390856
14.0,14,7.426776
34.0,34,7.5066
53.0,53,7.631931
113.0,113,7.956839
12.0,12,7.982164
13.0,13,8.016715
20.0,20,8.064763
22.0,22,8.114528
26.0,26,8.171503
32.0,32,8.249963
31.0,31,8.326918
17.0,17,8.363867
78.0,78,8.547015
23.0,23,8.596452
18.0,18,8.638847
20.0,20,8.685712
109.0,109,8.954448
52.0,52,9.08605
68.0,68,9.24977
16.0,16,9.289335
39.0,39,9.381116
19.0,19,9.426572
15.0,15,9.46209
111.0,111,9.733281
50.0,50,9.846785
41.0,41,9.939561
104.0,104,10.201438
43.0,43,10.299222
47.0,47,10.407916
73.0,73,10.582399
100.0,100,10.834547
34.0,34,10.920347
155.0,155,11.336657
89.0,89,11.591376
143.0,143,11.987544
66.0,66,12.206587
121.0,121,12.487105
120.0,120,12.775411
51.0,51,12.903737
111.0,111,13.184588
118.0,118,13.485755
131.0,131,13.829496
109.0,109,14.093393
119.0,119,14.383625
50.0,50,14.500161
85.0,85,14.703056
112.0,112,14.966593
102.0,102,15.216328
97.0,97,15.446384
101.0,101,15.684939
103.0,103,15.992947
115.0,115,16.26358
109.0,109,16.518576
138.0,138,16.852024
129.0,129,17.160789
44.0,44,17.279327
133.0,133,17.60574
200.0,200,18.081198
57.0,57,18.216788
100.0,100,18.451973
38.0,38,18.545756
127.0,127,18.885522
132.0,132,19.200141
93.0,93,19.444119
71.0,71,19.628455
113.0,113,19.938161
119.0,119,20.221946
78.0,78,20.409992
103.0,103,20.682802
51.0,51,20.802151
97.0,97,21.029453
115.0,115,21.299697
110.0,110,21.556425
125.0,125,21.880441
111.0,111,22.135427
109.0,109,22.390745
152.0,152,22.740793
200.0,200,23.213017
200.0,200,23.754006
108.0,108,24.016703
200.0,200,24.500184
