#{"t_start": 1620064490.9563508, "env_id": "LunarLander-v2"}
r,l,t
-269.411139,135,2.399041
-119.248395,102,2.674756
-578.304605,123,2.988382
-115.169676,86,3.216407
-79.500168,151,3.60467
-182.979467,147,3.989147
-201.879997,144,4.371663
37.349913,1000,7.810109
-103.268475,171,8.289152
54.9685,1000,11.594561
131.470372,1000,15.375379
-96.376696,126,15.719883
-88.62781,119,16.076869
-104.595458,147,16.559935
-208.925948,261,17.464983
-62.020845,200,18.224949
-67.970353,204,18.849563
-191.368823,250,19.599991
-182.924033,105,19.908921
-149.262245,100,20.20383
-99.521656,117,20.569363
-165.227869,94,20.89582
-39.768095,234,21.618998
-197.331434,202,22.184919
16.724347,180,22.748265
-39.74745,112,23.125948
-265.637738,118,23.534434
-74.745766,109,23.919506
-74.549824,121,24.323813
-54.939953,126,24.731993
-77.612273,126,25.06351
-68.935065,129,25.462029
-199.547437,172,25.992812
-64.503565,148,26.430371
-56.439297,257,27.204444
37.346593,133,27.626522
-101.18109,134,28.043514
-56.460629,127,28.416335
-113.451566,183,28.942645
-66.532644,236,29.645974
-76.381101,130,30.056102
-285.953333,124,30.425845
-152.796766,171,30.990087
-141.6513,244,31.807028
-82.0299,320,33.004716
-116.921753,122,33.425866
-128.592517,409,34.642787
-48.279387,225,35.298242
-233.102733,122,35.66841
-104.68083,154,36.231094
-242.062866,114,36.580258
-119.999468,168,37.036247
-152.974295,175,37.618305
-83.252777,157,38.192117
-240.147826,104,38.569562
-156.66224,120,39.025451
-239.720073,165,39.663502
-81.942296,170,40.296273
-117.678687,108,40.624315
-2.109405,156,41.097927
-130.955519,170,41.683907
-93.452388,110,42.094334
-234.332884,264,43.105617
-121.218678,218,43.876617
-217.85792,264,44.663464
-54.709599,108,44.958218
-91.187594,116,45.298023
-202.463433,292,46.192276
-144.34453,183,46.782222
-111.003565,158,47.32306
-250.542948,218,48.187792
44.97873,1000,51.872077
-280.699105,425,53.137493
-121.765141,135,53.521826
-150.645962,237,54.314793
-235.437738,300,55.203412
-253.541763,338,56.240078
-106.330422,117,56.625717
-181.812424,291,57.644769
33.544358,1000,60.99503
-392.061931,344,62.191218
-124.892941,248,63.138291
-111.789125,274,64.201189
-159.622638,273,65.091055
-121.861638,119,65.526538
-76.7796,135,65.982444
-166.36977,176,66.521816
-134.460851,166,67.009805
-170.602877,170,67.487718
-138.490857,215,68.124155
-115.783633,178,68.654359
-179.863232,187,69.269113
151.919899,1000,73.074262
-97.61558,156,73.643576
-120.883981,110,74.02712
-115.45047,114,74.334616
-70.29589,185,74.901352
-54.381807,122,75.299372
-111.239944,344,76.509122
-73.335043,127,76.970416
-98.242005,100,77.249467
-69.325745,119,77.607057
-114.274602,143,78.102801
-180.109494,186,78.723955
-100.15206,289,79.781295
-117.560097,131,80.237759
-123.16331,243,80.938673
-75.005031,136,81.351938
-112.606028,168,81.928035
-210.646194,227,82.715533
-122.605413,104,83.086998
-168.715366,363,84.264787
-293.384388,137,84.651684
-158.274547,178,85.170359
-162.929379,120,85.53929
-160.264667,216,86.176396
-137.295151,129,86.575114
-155.286784,249,87.373279
-104.995164,303,88.502674
-108.222733,145,89.040437
-169.794622,119,89.367511
-230.604451,326,90.443879
-207.496213,184,91.017884
-214.623268,192,91.594057
-68.948502,84,91.864319
-77.27302,141,92.306813
-65.776474,123,92.68601
-91.613353,136,93.123814
-158.124281,276,94.05785
-91.717863,114,94.43487
-87.304661,254,95.319661
-60.616178,230,96.151334
-83.126295,105,96.540057
-94.511689,109,96.941833
-258.504528,276,97.953969
-132.964441,233,98.720536
-86.252736,111,99.073092
-79.031885,144,99.529011
-163.735416,208,100.220154
-232.732804,433,101.715905
-59.677431,255,102.528108
-81.395955,219,103.263417
-184.579484,173,103.851632
-150.064067,174,104.446411
-94.658693,137,104.862957
-122.180772,234,105.527833
-82.381109,119,105.912128
-51.896467,124,106.247285
-58.321516,148,106.661813
-68.53435,99,106.939961
-130.586142,194,107.495903
-34.992196,148,107.978128
-154.6712,176,108.501161
-175.313059,298,109.41366
-136.159643,392,110.586893
-110.266334,147,110.997432
-218.431836,339,112.041971
-158.217514,292,112.907316
-81.571437,185,113.426946
-162.398651,103,113.712789
-246.811613,294,114.645246
-86.289851,164,115.204015
-162.55984,352,116.468525
-64.519872,124,116.904386
-70.237168,136,117.377301
-122.156467,201,118.011582
-56.392015,148,118.452426
-122.462821,130,118.835162
-76.664846,286,119.679479
-65.125195,130,120.147928
-298.970004,589,122.089874
-95.145419,254,123.08679
-223.688488,174,123.845578
-82.568218,241,124.854266
-122.802813,219,125.638021
-176.456888,192,126.323971
-92.961365,178,126.931667
-92.342282,201,127.640916
-87.77613,108,128.050722
-130.065348,137,128.481995
-176.939979,102,128.788904
-93.549029,106,129.121378
-95.127186,177,129.674642
-186.209715,97,130.015115
-192.174649,100,130.345558
-111.987571,121,130.675478
-111.67355,130,131.039029
-127.668251,120,131.363816
-71.653952,103,131.66799
-227.603939,122,132.027368
-195.767847,89,132.314986
-137.572405,275,133.242451
-75.856275,123,133.681823
115.808209,276,134.668889
-86.442219,146,135.220767
-159.671919,368,136.527342
-100.681273,204,137.174985
-120.777506,205,137.812541
-144.596399,114,138.148345
-121.053592,214,138.80338
-113.620478,108,139.137111
-98.104575,117,139.51145
-122.670242,347,140.670878
-115.538787,359,141.875123
-126.351477,140,142.386082
-118.294151,135,142.917455
-121.744905,272,144.078331
-77.478014,139,144.642274
-138.974279,110,145.036263
-80.120551,270,145.836004
-120.393859,185,146.484969
-185.58783,103,146.835167
-165.917458,258,147.752308
-128.458478,191,148.460335
-131.554853,114,148.831649
-130.805226,236,149.542202
-200.302849,353,150.652022
-101.488521,252,151.347057
61.030818,1000,154.870957
-125.59627,189,155.595445
-104.66518,131,156.026803
13.264072,140,156.420838
-26.269698,109,156.752323
-87.803539,137,157.160016
-74.018281,120,157.600116
-86.182728,207,158.440557
-97.370542,127,158.931288
-187.526886,103,159.317649
-178.360105,232,160.158016
-141.040534,173,160.733207
-100.488011,113,161.105464
-61.696012,117,161.532701
-99.639224,191,162.17375
-139.912329,245,162.960887
-111.161932,149,163.444575
-255.814401,105,163.793833
-50.703356,138,164.276161
-106.715916,119,164.674275
-86.577515,113,165.039856
-96.556783,165,165.579202
-108.617991,191,166.242092
-171.733638,190,166.852614
-176.504662,225,167.580212
-142.734279,294,168.554217
70.083017,1000,172.019731
-93.94426,106,172.356276
-100.147472,283,173.313971
-133.376789,190,173.980057
-66.141896,132,174.440524
-217.888782,236,175.344926
-161.133078,351,176.785422
-97.63559,211,177.57179
-127.678649,139,178.051685
-99.016123,202,178.633935
-112.109296,347,179.811232
-93.120208,200,180.522307
-52.885691,285,181.487155
-107.720925,177,182.076491
-79.645384,202,182.676492
-76.610893,115,183.04427
-40.926647,118,183.438022
-185.057267,521,185.54558
-105.820697,133,186.046429
1.19706,1000,189.438503
-77.562568,224,190.342702
-115.092077,112,190.74456
24.644495,1000,194.33774
41.134565,213,195.037451
-6.390606,186,195.663809
-105.150734,190,196.296195
-56.701909,145,196.753023
61.54543,1000,200.056866
239.107457,497,201.645172
-149.472768,110,202.014223
-123.187262,405,203.420221
-119.841822,430,204.713981
-92.835855,168,205.230609
-97.275353,152,205.745743
-195.586192,310,206.87104
-143.908539,117,207.328517
-179.534839,139,207.914969
-194.505579,529,209.912895
