#{"t_start": 1620065931.987948, "env_id": "MountainCarContinuous-v0"}
r,l,t
-47.941223,999,2.231957
-46.519191,999,4.449853
-42.839991,999,6.704029
-39.252426,999,8.940988
-35.243706,999,11.207748
-31.279402,999,13.451416
-28.716479,999,15.752666
-26.82941,999,18.02859
-21.463373,999,20.284629
-19.421205,999,22.510628
-16.286924,999,24.759971
-14.722507,999,27.025199
-12.575529,999,29.277164
-10.895025,999,31.526622
-9.548044,999,33.75688
-8.948032,999,36.010162
-7.938489,999,38.26832
-7.816509,999,40.541979
-6.765992,999,42.782452
-6.019954,999,45.048518
-6.69352,999,47.302192
-6.295501,999,49.534895
-5.477801,999,51.771403
-5.215511,999,54.03835
-6.044131,999,56.330964
-5.305257,999,58.602182
-5.000939,999,60.886591
-5.050904,999,63.180806
-5.061298,999,65.42353
-4.698295,999,67.654035
-5.061988,999,69.896873
-5.058418,999,72.156608
-4.9991,999,74.339691
-5.087949,999,76.577774
-4.956012,999,78.830614
-5.000945,999,81.062392
-4.84171,999,83.280938
-4.788641,999,85.507474
-5.013869,999,87.773775
-5.311346,999,90.032209
-4.856557,999,92.224768
-5.001958,999,94.478215
-4.807774,999,96.75558
-5.164618,999,99.055138
-5.10519,999,101.263608
-5.324988,999,103.517669
-4.756673,999,105.698791
-4.952311,999,107.954232
-4.455059,999,110.185495
-4.91459,999,112.433402
-5.004227,999,114.649623
-4.779421,999,116.950814
-5.388653,999,119.259907
-5.291278,999,121.523116
-4.909355,999,123.762813
-4.927001,999,126.022457
-5.132003,999,128.267504
-5.160819,999,130.55133
-5.362905,999,132.781113
-5.538455,999,135.033592
-5.182253,999,137.278826
-5.276395,999,139.511713
-5.143608,999,141.776282
-5.438323,999,143.999591
-5.261499,999,146.28968
-5.160491,999,148.566589
-5.090221,999,150.86443
-4.877875,999,153.13821
-5.052591,999,155.389561
-4.931301,999,157.665981
-5.175454,999,160.006318
-5.281465,999,162.304754
-5.400914,999,164.554541
-5.51515,999,166.796522
-5.247247,999,169.088438
-5.550655,999,171.357078
-5.208964,999,173.566101
-5.385017,999,175.844206
-5.317389,999,178.135653
-4.876877,999,180.378768
-4.90475,999,182.64932
-5.214739,999,184.96402
-4.464943,999,187.22143
-5.034288,999,189.491719
-5.451329,999,191.763435
-4.927108,999,194.00165
-4.867082,999,196.241401
-5.143694,999,198.493273
-5.025837,999,200.75058
-4.871343,999,203.000115
-5.383537,999,205.233603
-5.171862,999,207.469669
-4.983379,999,209.733528
-4.962739,999,211.978983
-4.658309,999,214.174403
-4.641944,999,216.445463
-5.069719,999,218.697677
-5.143828,999,220.935997
-5.183562,999,223.145291
-5.62403,999,225.418856
