#{"t_start": 1620068402.2705617, "env_id": "Pendulum-v0"}
r,l,t
-1733.361408,200,0.530931
-1721.953183,200,1.161621
-1600.36545,200,1.723245
-1695.727666,200,2.263221
-1610.802632,200,2.803304
-1561.862383,200,3.307106
-1542.791972,200,3.833779
-1270.82623,200,4.384123
-1415.045514,200,4.943619
-1313.212365,200,5.515433
-1112.985107,200,6.030579
-1189.636604,200,6.523841
-1212.893932,200,7.065235
-1292.921449,200,7.583129
-1357.643937,200,8.105166
-1441.137032,200,8.611513
-1466.988445,200,9.112745
-1451.7901,200,9.6222
-1483.957729,200,10.165876
-1474.222194,200,10.714152
-1489.733963,200,11.227239
-1446.030388,200,11.719529
-1429.734751,200,12.223505
-1294.802126,200,12.759809
-918.531051,200,13.269379
-1225.162424,200,13.766708
-1362.706289,200,14.284689
-1285.282345,200,14.821877
-1459.517572,200,15.311319
-1288.807075,200,15.805797
-1332.169804,200,16.393667
-1462.862217,200,16.989605
-1386.271919,200,17.518118
-1291.40146,200,18.025247
-1192.446967,200,18.564189
-1044.484371,200,19.080751
-1627.189406,200,19.578717
-936.964511,200,20.073559
-1666.339653,200,20.575856
-1498.849743,200,21.095735
-1347.774826,200,21.602996
-1240.10791,200,22.286703
-892.309346,200,22.980746
-1657.01082,200,23.537783
-861.012111,200,24.078321
-1199.575123,200,24.570383
-1173.309498,200,25.084642
-1835.188496,200,25.67298
-1026.048732,200,26.225396
-1088.442487,200,26.940236
-1292.571092,200,27.444106
-1336.893609,200,28.107139
-1314.427986,200,28.690582
-1456.627236,200,29.420513
-975.863638,200,30.060666
-1364.978015,200,30.659197
-1361.283767,200,31.178611
-904.335645,200,31.74801
-1161.19068,200,32.334689
-1189.660886,200,32.990113
-1127.452283,200,33.574081
-1152.113246,200,34.087673
-1497.982559,200,34.662692
-1215.200654,200,35.220346
-990.085307,200,35.758077
-986.429956,200,36.263663
-1469.954608,200,36.849342
-1150.47897,200,37.413824
-1054.623804,200,37.937685
-1398.945273,200,38.48645
-1435.943691,200,39.003493
-1368.661204,200,39.535192
-1563.809201,200,40.031632
-1752.543464,200,40.658656
-1762.918048,200,41.167803
-1592.791707,200,41.673207
-1799.182757,200,42.242091
-963.045602,200,42.860878
-1489.472596,200,43.460633
-854.569772,200,43.955378
-1731.4129,200,44.454615
-1252.762926,200,45.056037
-1159.216713,200,45.612096
-1273.999958,200,46.166597
-1418.405756,200,46.740368
-1580.878868,200,47.350098
-1783.49821,200,47.992778
-1836.030962,200,48.498542
-1809.776853,200,49.041687
-1772.986993,200,49.540211
-1826.519596,200,50.040225
-1577.616894,200,50.530951
-1695.541182,200,51.020956
-1686.508809,200,51.537504
-1603.761363,200,52.048489
-1715.508972,200,52.602071
-1713.417471,200,53.132007
-1489.827819,200,53.665652
-866.679035,200,54.349517
-1312.044734,200,55.094806
-1498.14571,200,55.621159
-977.933631,200,56.190708
-952.111094,200,56.734907
-1377.431232,200,57.299086
-963.748481,200,57.875092
-1302.570039,200,58.474782
-959.574129,200,59.032948
-1001.321716,200,59.559905
-1704.869959,200,60.085934
-1760.05321,200,60.647475
-1571.528995,200,61.177603
