#{"t_start": 1620062413.390208, "env_id": "BipedalWalker-v3"}
r,l,t
-107.569168,50,0.192699
-112.669195,49,0.371125
-125.632709,1600,5.813546
-138.976,1600,11.017079
-129.902633,1600,16.15692
-100.80472,75,16.403028
-104.0307,61,16.60389
-101.992266,66,16.830071
-102.521415,66,17.044241
-100.926863,71,17.269394
-104.345584,70,17.497377
-197.759396,1562,22.746809
-103.652235,51,22.925969
-101.695718,48,23.0899
-103.819653,91,23.393998
-104.050131,49,23.568731
-103.020796,49,23.735241
-104.910114,50,23.911792
-101.618365,51,24.081218
-104.614413,50,24.247103
-103.042006,43,24.394774
-101.50186,56,24.578492
-102.243811,49,24.7434
-100.270069,61,24.967157
-101.34312,59,25.17379
-103.222109,51,25.341957
-98.348536,68,25.566686
-102.559204,58,25.754977
-103.462038,62,25.968642
-101.386197,63,26.170171
-101.102605,56,26.352391
-102.169685,52,26.553201
-105.852116,48,26.699597
-102.94734,49,26.861832
-101.284285,54,27.064537
-101.825568,58,27.258243
-100.527023,50,27.41654
-131.186897,208,28.085802
-110.92313,115,28.470648
-100.250459,82,28.755139
-102.96976,118,29.151626
-103.237698,78,29.405767
-102.907521,68,29.621823
-102.434779,61,29.820378
-129.354666,1600,34.958983
-98.856686,95,35.276022
-102.653967,101,35.599307
-103.03353,76,35.845228
-86.201977,1600,41.025502
-67.038068,1600,46.331976
-60.583706,1600,51.616583
-49.95125,1600,56.795182
-38.316584,1600,61.970537
4.57165,1600,67.185799
-58.290113,1043,70.63299
103.354127,1600,75.945402
-90.561779,158,76.468626
80.588976,1408,81.046397
219.290014,1600,86.280155
-114.782568,71,86.510936
-107.782299,42,86.652943
-77.770295,271,87.558131
-79.993194,234,88.302936
-2.512305,517,89.99833
-109.419981,41,90.129372
-109.773093,110,90.494375
-60.028786,253,91.324337
-79.370587,229,92.043113
-107.4379,42,92.176354
-45.685127,306,93.20373
-106.946069,50,93.370799
-112.907585,101,93.702677
-120.695401,76,93.973199
-110.07168,48,94.133753
-116.938979,88,94.42143
-109.972199,53,94.590272
-111.788478,72,94.835622
-115.113048,63,95.062251
-112.426788,92,95.370687
-113.502482,61,95.572642
-122.279019,94,95.877282
-108.624421,49,96.028314
-107.227544,51,96.200196
-107.50449,48,96.359296
-117.04195,81,96.624174
-108.161329,51,96.795613
-106.898322,51,96.981035
-107.64613,45,97.133546
-113.254399,101,97.489516
-116.612625,87,97.780419
-107.797042,48,97.947899
-108.595285,51,98.104439
-105.255743,43,98.251888
-110.324879,49,98.415835
-106.938421,49,98.572639
-106.353876,49,98.73373
-107.002025,50,98.906829
-117.508909,73,99.162978
-115.804308,91,99.464743
-118.70396,77,99.713196
-107.04316,47,99.875049
-112.190863,49,100.037892
-110.419038,44,100.184413
-115.924581,68,100.411253
-116.154593,63,100.638117
-112.942539,54,100.816619
-110.711272,45,100.982747
-110.497163,41,101.125717
-112.58586,48,101.288882
-118.505453,84,101.578969
-107.933282,33,101.692701
-108.302162,39,101.828214
-118.677729,65,102.055028
-110.267915,40,102.192873
-116.070301,63,102.421139
-118.540894,78,102.674628
-112.922587,50,102.838208
-118.964992,68,103.075905
-108.613446,36,103.197284
-111.557833,43,103.335827
-110.816594,50,103.508908
-113.610577,68,103.747238
-110.941206,43,103.888339
-112.399926,45,104.043294
-108.288125,54,104.232911
-120.958604,100,104.556091
-115.511039,70,104.777902
-127.115575,121,105.173182
-149.012356,372,106.372959
-129.088272,202,107.037369
-112.167913,161,107.570477
-144.858563,314,108.574613
-107.13509,231,109.308837
-107.45698,41,109.444329
-101.783013,202,110.083122
-113.730687,94,110.395556
-104.656909,65,110.60847
-99.632552,115,111.011556
-107.732959,109,111.353753
-118.175782,381,112.561791
-97.802433,645,114.566003
-114.458766,87,114.844945
-68.493273,609,116.828198
-77.492738,1600,121.879748
-113.011884,640,123.916517
-95.499536,77,124.170726
-94.652119,79,124.427771
-95.646377,96,124.731038
-92.430724,373,125.926837
-79.950278,195,126.540861
-88.206388,157,127.039412
-105.397647,49,127.19592
-107.185673,45,127.33983
-105.461293,48,127.498024
-107.6427,44,127.633215
10.747612,1600,132.858589
-71.00197,519,134.564879
-105.889437,47,134.736854
-111.698798,87,135.047623
-105.998423,48,135.213775
-115.353408,90,135.505907
-111.294342,53,135.680692
-112.251341,75,135.922001
-137.107488,981,139.104172
-133.299687,883,141.955383
-146.397896,1231,145.902489
-125.254687,137,146.363197
-101.404817,438,147.766839
40.352389,1600,152.965339
-104.616609,126,153.366873
-109.581045,52,153.552938
-112.126813,65,153.793478
-109.203245,50,153.9778
-112.040801,56,154.174146
-113.56319,56,154.363359
-105.744459,48,154.533876
-111.669832,61,154.743507
-106.796865,46,154.899251
-111.768271,56,155.086653
-108.97133,395,156.38814
-38.975709,1600,161.47624
28.708188,1600,166.679591
-110.985249,89,166.978693
-40.045235,821,169.789047
11.046717,1208,173.915003
-106.926945,45,174.071101
-108.077373,48,174.238712
-106.961979,46,174.397661
-72.604065,493,175.991789
-8.205666,1019,179.328855
-107.325756,45,179.484609
-105.9151,42,179.625056
-106.511201,44,179.770268
-107.575608,49,179.945006
-114.231632,123,180.340836
-106.76615,46,180.486403
-115.944229,150,181.008344
-115.18739,96,181.3132
-111.428627,66,181.525866
-35.190964,696,183.770062
-116.298565,86,184.085663
-111.151108,94,184.427228
-60.716073,432,185.821883
-78.328992,429,187.295273
-115.867865,84,187.587208
-107.087025,78,187.846392
-117.718596,54,188.038564
-113.570912,129,188.462045
-105.228539,217,189.192044
-111.797626,76,189.435132
-109.057265,55,189.618001
-112.793024,72,189.841429
-112.416623,112,190.204364
-116.204184,99,190.523792
-118.09773,147,190.997485
-118.763404,84,191.266466
-111.303195,51,191.430446
52.468908,1588,196.604599
-106.135646,75,196.854568
157.916435,1600,201.994742
-117.543824,82,202.284998
-109.253029,48,202.451712
136.295227,1445,207.04668
-106.859179,45,207.205796
-116.853699,67,207.438719
-119.911149,69,207.675289
-113.07219,59,207.886107
-114.020994,68,208.125846
-111.735036,52,208.293
-113.656145,98,208.63749
86.321542,1456,213.526296
-110.937521,82,213.801952
20.460127,948,217.151624
-106.729477,44,217.295707
-48.618884,517,218.962296
-43.75157,689,221.213811
-109.805723,79,221.491905
-129.044852,136,221.96655
-128.94162,140,222.404941
-111.320964,84,222.67617
-110.868312,69,222.895097
-109.39928,54,223.090158
-110.043934,75,223.338196
-128.817472,116,223.720931
-111.471543,40,223.848806
-105.328172,258,224.674649
-120.596665,185,225.267397
-114.866268,41,225.409778
-113.257171,62,225.622729
-114.851166,40,225.7508
-114.859015,48,225.913021
-112.36196,114,226.2871
-119.008712,231,227.080487
-111.955312,93,227.395172
-107.795836,67,227.610558
-115.142808,41,227.745563
-116.024924,41,227.888643
-113.772686,58,228.080721
-110.017815,101,228.420301
-113.002546,75,228.670167
-113.558194,129,229.080547
-115.976359,91,229.381608
-113.672654,277,230.340435
-118.964456,43,230.495664
-123.518221,176,231.097668
-111.262871,77,231.354345
-115.136388,69,231.585169
-116.420279,78,231.873735
-110.396621,107,232.268602
-113.409434,114,232.656862
-118.495709,87,232.938418
-116.854582,94,233.248818
-118.455837,44,233.401094
-113.443911,55,233.612526
-111.005355,75,233.852083
-114.563035,118,234.223286
-112.718459,59,234.422147
-112.823107,57,234.608322
-116.41982,92,234.921735
-112.902959,79,235.220263
-105.29914,39,235.350382
-106.279543,169,235.918839
-112.852461,89,236.252676
-113.581491,100,236.597818
-114.534829,211,237.350209
-106.790101,151,237.877904
-107.886372,241,238.672145
-106.776155,130,239.097271
-109.250922,59,239.30447
-104.40553,168,239.890368
-102.658149,770,242.393535
-108.44378,296,243.373318
-107.356022,52,243.54452
-114.970422,300,244.54823
-109.911035,159,245.058712
-146.33116,1557,250.082524
-106.76016,377,251.328466
-92.561808,476,252.896092
-147.887882,872,255.778775
-111.546978,75,256.024518
25.43334,1600,261.087166
-43.026434,1369,265.507908
93.857816,1600,270.583524
220.254543,1571,275.631597
-42.410755,989,278.791793
240.914804,1305,283.019789
-121.994055,121,283.396828
-109.313805,69,283.613966
-100.177339,96,283.934262
-109.436154,109,284.280396
-114.181065,79,284.532617
41.050118,660,286.731944
-115.570865,78,287.010572
-108.34032,49,287.180511
-126.016579,130,287.605678
-106.75054,83,287.893726
-107.610141,54,288.065804
-105.809812,84,288.346122
19.088508,707,290.740222
-28.986037,547,292.518424
-105.446236,90,292.822342
-111.764956,130,293.239203
-108.312809,56,293.425719
-123.283864,128,293.875928
-111.892661,102,294.212914
-114.638334,64,294.416913
-113.039933,52,294.591547
-131.821636,105,294.961758
-112.286389,53,295.141167
-113.141201,103,295.503725
-113.715435,53,295.692007
-87.794255,274,296.56819
-111.679477,96,296.878097
-106.306522,81,297.125451
-124.081881,94,297.42177
-110.378157,99,297.73536
-116.361993,86,298.004208
-112.052521,56,298.18352
-113.197306,56,298.372386
-106.754564,152,298.878768
-123.153317,92,299.188323
-119.766191,282,300.101765
-102.396265,143,300.558073
-104.02356,69,300.777163
-103.277693,232,301.548617
53.569162,977,304.729424
-112.786361,53,304.896167
-111.063014,50,305.075101
-123.343125,117,305.500535
-119.33729,47,305.651593
198.488478,1600,310.807369
220.847232,1441,315.413975
-126.557564,122,315.793257
-106.233899,49,315.945878
218.305749,1468,320.723149
225.153789,1399,325.187034
-107.333511,83,325.457418
-106.963652,70,325.688968
-108.51022,59,325.877029
-106.500018,45,326.025562
