#{"t_start": 1620059854.863342, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-115.808554,73,0.253643
-113.869489,58,0.451687
-109.999067,59,0.666138
-121.047616,81,0.956681
-108.333155,39,1.082851
-109.747,52,1.262637
-104.219342,60,1.457179
-164.494891,2000,7.912925
-119.718143,58,8.092902
-113.841496,97,8.400725
-143.777514,2000,14.932034
-178.31192,1640,20.203854
-99.227055,56,20.388294
-99.220214,69,20.622994
-98.998286,97,20.951452
-99.93508,50,21.126994
-105.48224,67,21.357942
-101.683715,41,21.507482
-99.096379,75,21.771289
-106.753123,72,22.009845
-99.667446,49,22.206529
-106.884105,59,22.412746
-103.249603,55,22.593676
-108.919477,171,23.175393
-101.793472,52,23.356364
-104.140688,48,23.5372
-102.603538,55,23.713528
-128.485295,2000,30.558204
-213.795472,1890,36.747097
-98.782532,77,36.992547
-116.434626,460,38.503849
-100.449746,62,38.704957
-130.43144,1877,44.885704
-145.882274,887,47.784059
-102.401856,77,48.043359
-91.02525,158,48.555816
-109.159611,343,49.681945
-101.152056,317,50.733391
-103.635967,316,51.804918
-121.468132,2000,58.330686
-120.274694,2000,64.846827
-115.150679,2000,71.300078
-104.079933,944,74.325642
-101.884025,356,75.465517
-130.372479,2000,81.99965
-100.157446,278,82.914973
-93.148874,200,83.569609
-161.59232,1068,87.075868
-93.233763,168,87.662987
-114.880315,54,87.843655
-115.28283,60,88.045729
-113.935905,471,89.596754
-143.923522,2000,96.219004
-126.193582,566,98.055037
-125.293115,526,99.751283
-109.049063,57,99.931801
-134.291784,473,101.46677
-97.142778,217,102.198427
-97.149606,190,102.831369
-105.912283,42,102.976248
-117.114479,89,103.266072
-105.986234,50,103.4332
-113.769825,133,103.883229
-108.354474,53,104.070916
-106.101484,46,104.23678
-119.772254,74,104.489363
-92.263453,536,106.328929
-117.648407,491,107.980794
-114.615907,356,109.147474
-115.623905,87,109.452168
-108.089533,150,109.931062
-70.94889,350,111.079287
-84.13018,319,112.14068
-112.823065,64,112.343201
-116.938129,77,112.589728
-111.730237,75,112.827914
-94.416239,162,113.356244
-118.339151,429,114.74316
-127.364022,83,115.006056
-102.827767,163,115.540616
-104.255261,79,115.804977
-94.45706,190,116.430081
-114.310041,61,116.636112
-138.593993,2000,123.172015
-116.48099,61,123.374636
-103.967946,294,124.349073
-86.734577,736,126.74131
-100.15035,260,127.616696
-109.976358,60,127.812289
-97.715751,658,129.957959
-107.516346,49,130.120001
-98.151036,216,130.831469
-92.992822,160,131.348751
-109.57855,59,131.587702
-110.37768,63,131.791262
-122.467728,153,132.275373
-76.980949,369,133.499765
-69.614043,267,134.375521
-105.547272,50,134.544145
-98.835284,186,135.13827
-120.621408,94,135.443555
-108.534419,62,135.642224
-103.219569,62,135.843561
-103.171386,287,136.77286
-109.941043,69,136.997526
-112.646233,58,137.189094
-99.740316,83,137.474983
-118.884517,2000,144.050356
-110.063775,45,144.193037
-107.941346,42,144.333806
-111.793365,45,144.47774
-184.605389,1324,148.751162
-95.403652,636,150.823691
-107.463195,44,150.976612
-126.575135,2000,157.67785
-100.482371,312,158.696089
-95.756833,215,159.389239
-96.499045,222,160.096886
-107.721102,43,160.235886
-97.125316,2000,166.841292
-111.228098,61,167.040243
-108.076126,958,170.203259
-101.922205,293,171.162685
25.392279,2000,177.655262
-107.818778,50,177.824142
-108.266231,134,178.291136
-113.757401,72,178.537611
-105.890988,48,178.701992
-107.109075,47,178.862421
-107.671104,48,179.024993
-113.35067,66,179.242027
-108.121883,48,179.411392
-108.542997,55,179.606193
-105.866233,49,179.769545
-106.938596,50,179.937978
-106.237374,54,180.123392
