#{"t_start": 1620060565.8209672, "env_id": "CartPole-v0"}
r,l,t
13.0,13,0.028379
23.0,23,0.078427
10.0,10,0.098665
23.0,23,0.135895
37.0,37,0.204139
23.0,23,0.247181
13.0,13,0.277807
30.0,30,0.338172
31.0,31,0.392168
17.0,17,0.421698
43.0,43,0.502663
25.0,25,0.550557
31.0,31,0.603516
49.0,49,0.687364
60.0,60,0.788953
32.0,32,0.840176
72.0,72,0.965707
37.0,37,1.029388
70.0,70,1.157673
170.0,170,1.447626
121.0,121,1.648048
200.0,200,1.977537
164.0,164,2.2621
200.0,200,2.607287
48.0,48,2.687056
49.0,49,2.769445
200.0,200,3.108054
200.0,200,3.438591
198.0,198,3.776473
121.0,121,3.976312
154.0,154,4.232885
148.0,148,4.476098
122.0,122,4.714386
133.0,133,4.957206
145.0,145,5.218585
200.0,200,5.562443
200.0,200,5.896563
174.0,174,6.184989
200.0,200,6.528422
200.0,200,6.875288
33.0,33,6.928411
190.0,190,7.271591
144.0,144,7.520995
200.0,200,7.861795
151.0,151,8.137557
162.0,162,8.414476
115.0,115,8.626107
76.0,76,8.755052
181.0,181,9.07236
135.0,135,9.294151
176.0,176,9.589033
120.0,120,9.801458
95.0,95,9.966442
144.0,144,10.210703
103.0,103,10.38361
113.0,113,10.583575
137.0,137,10.818816
126.0,126,11.031567
45.0,45,11.104691
176.0,176,11.390577
115.0,115,11.590579
167.0,167,11.862298
159.0,159,12.119395
145.0,145,12.372905
200.0,200,12.717426
200.0,200,13.047853
200.0,200,13.397506
200.0,200,13.724324
200.0,200,14.075902
200.0,200,14.401676
200.0,200,14.746354
142.0,142,14.994494
48.0,48,15.071275
85.0,85,15.209699
18.0,18,15.240545
64.0,64,15.349357
44.0,44,15.417853
91.0,91,15.567631
200.0,200,15.905651
200.0,200,16.236846
200.0,200,16.576607
139.0,139,16.807907
85.0,85,16.946275
200.0,200,17.27492
200.0,200,17.608268
49.0,49,17.688819
49.0,49,17.780074
200.0,200,18.118109
200.0,200,18.481604
200.0,200,18.840575
128.0,128,19.058747
140.0,140,19.294767
195.0,195,19.61795
105.0,105,19.792893
103.0,103,19.978244
200.0,200,20.317771
71.0,71,20.437204
52.0,52,20.524734
57.0,57,20.620508
71.0,71,20.743726
70.0,70,20.877894
74.0,74,21.005176
61.0,61,21.107247
25.0,25,21.149369
65.0,65,21.260124
85.0,85,21.401124
40.0,40,21.467848
67.0,67,21.581781
48.0,48,21.671455
32.0,32,21.727011
51.0,51,21.812646
34.0,34,21.87342
25.0,25,21.916662
22.0,22,21.951805
92.0,92,22.110629
36.0,36,22.170695
43.0,43,22.240655
33.0,33,22.297347
22.0,22,22.332405
40.0,40,22.400098
59.0,59,22.532633
26.0,26,22.576409
86.0,86,22.718922
43.0,43,22.789876
45.0,45,22.868585
43.0,43,22.942657
63.0,63,23.04523
84.0,84,23.184969
90.0,90,23.33403
81.0,81,23.476215
61.0,61,23.581006
62.0,62,23.682001
148.0,148,23.930542
91.0,91,24.079118
179.0,179,24.383631
144.0,144,24.637812
92.0,92,24.794384
73.0,73,24.916717
57.0,57,25.019238
54.0,54,25.138254
46.0,46,25.21606
21.0,21,25.251103
73.0,73,25.37925
88.0,88,25.521029
112.0,112,25.705999
102.0,102,25.872217
149.0,149,26.12545
122.0,122,26.33373
109.0,109,26.543027
119.0,119,26.751069
118.0,118,26.951111
20.0,20,26.983405
121.0,121,27.185154
129.0,129,27.395929
81.0,81,27.53346
30.0,30,27.583307
129.0,129,27.803523
37.0,37,27.869374
21.0,21,27.903865
13.0,13,27.927505
10.0,10,27.943894
152.0,152,28.19179
133.0,133,28.410145
119.0,119,28.611431
25.0,25,28.651999
124.0,124,28.856959
18.0,18,28.88844
23.0,23,28.924311
109.0,109,29.106674
110.0,110,29.291054
23.0,23,29.337628
100.0,100,29.511184
89.0,89,29.663838
82.0,82,29.794782
18.0,18,29.825861
94.0,94,29.978699
74.0,74,30.106413
65.0,65,30.224193
105.0,105,30.405046
113.0,113,30.608242
95.0,95,30.762847
148.0,148,31.019903
198.0,198,31.35828
200.0,200,31.695337
200.0,200,32.03925
200.0,200,32.36698
200.0,200,32.725771
200.0,200,33.049308
200.0,200,33.373915
200.0,200,33.707207
200.0,200,34.031652
200.0,200,34.364254
200.0,200,34.707374
200.0,200,35.0404
200.0,200,35.373087
200.0,200,35.698299
200.0,200,36.030364
200.0,200,36.361571
200.0,200,36.709172
200.0,200,37.070548
200.0,200,37.395284
200.0,200,37.73166
200.0,200,38.067388
200.0,200,38.39892
200.0,200,38.756914
200.0,200,39.078264
200.0,200,39.409983
200.0,200,39.739448
200.0,200,40.071894
200.0,200,40.436013
200.0,200,40.765806
200.0,200,41.094626
200.0,200,41.441774
200.0,200,41.769933
200.0,200,42.11141
200.0,200,42.44122
200.0,200,42.801526
200.0,200,43.132843
200.0,200,43.465132
200.0,200,43.796853
200.0,200,44.116288
200.0,200,44.44946
200.0,200,44.794741
200.0,200,45.125169
200.0,200,45.461524
200.0,200,45.783518
200.0,200,46.108373
200.0,200,46.433637
200.0,200,46.762904
200.0,200,47.099536
200.0,200,47.444517
200.0,200,47.773134
200.0,200,48.111876
200.0,200,48.441488
200.0,200,48.813147
200.0,200,49.146375
200.0,200,49.473406
200.0,200,49.808485
200.0,200,50.139947
200.0,200,50.518778
200.0,200,50.858418
200.0,200,51.193329
200.0,200,51.531188
200.0,200,51.868569
200.0,200,52.231104
200.0,200,52.556125
200.0,200,52.887392
200.0,200,53.223958
200.0,200,53.550172
200.0,200,53.886208
200.0,200,54.210897
200.0,200,54.556374
200.0,200,54.894051
200.0,200,55.225042
200.0,200,55.578946
200.0,200,55.906024
200.0,200,56.236057
200.0,200,56.58957
200.0,200,56.91303
200.0,200,57.252752
200.0,200,57.578447
200.0,200,57.908708
200.0,200,58.237693
200.0,200,58.574645
200.0,200,58.92272
200.0,200,59.248249
200.0,200,59.577727
200.0,200,59.908597
200.0,200,60.238742
200.0,200,60.60748
200.0,200,60.935071
200.0,200,61.264468
200.0,200,61.620161
200.0,200,61.947135
200.0,200,62.293585
200.0,200,62.631416
200.0,200,62.965617
200.0,200,63.29854
200.0,200,63.626575
200.0,200,63.977408
200.0,200,64.309142
200.0,200,64.660891
200.0,200,64.996341
200.0,200,65.320704
200.0,200,65.661417
200.0,200,65.99485
200.0,200,66.346778
200.0,200,66.685574
200.0,200,67.034466
200.0,200,67.379447
200.0,200,67.713026
200.0,200,68.041792
200.0,200,68.379564
200.0,200,68.723444
200.0,200,69.059512
200.0,200,69.386295
200.0,200,69.728198
200.0,200,70.064345
200.0,200,70.398141
200.0,200,70.759784
200.0,200,71.086811
200.0,200,71.415356
200.0,200,71.761261
200.0,200,72.098886
200.0,200,72.438625
200.0,200,72.766943
200.0,200,73.098818
200.0,200,73.446869
200.0,200,73.768702
200.0,200,74.106956
200.0,200,74.44165
200.0,200,74.796035
200.0,200,75.15564
200.0,200,75.534976
200.0,200,75.891654
200.0,200,76.222434
200.0,200,76.584614
200.0,200,76.91715
200.0,200,77.245783
200.0,200,77.584206
200.0,200,77.924733
200.0,200,78.252716
200.0,200,78.620086
200.0,200,78.951106
200.0,200,79.290084
200.0,200,79.62064
200.0,200,79.984512
200.0,200,80.319018
200.0,200,80.646345
200.0,200,80.980432
200.0,200,81.308236
200.0,200,81.648893
200.0,200,81.996305
200.0,200,82.331747
200.0,200,82.688101
200.0,200,83.012553
200.0,200,83.355205
200.0,200,83.6888
200.0,200,84.017388
200.0,200,84.353853
200.0,200,84.697736
200.0,200,85.040766
200.0,200,85.369901
200.0,200,85.695572
200.0,200,86.036658
200.0,200,86.367104
200.0,200,86.716608
200.0,200,87.05972
200.0,200,87.388232
200.0,200,87.741642
200.0,200,88.082322
200.0,200,88.417083
200.0,200,88.752516
200.0,200,89.078394
200.0,200,89.416264
200.0,200,89.741278
200.0,200,90.094702
200.0,200,90.433017
200.0,200,90.781971
200.0,200,91.13244
200.0,200,91.458701
200.0,200,91.789285
200.0,200,92.125621
200.0,200,92.455875
200.0,200,92.793308
200.0,200,93.118549
200.0,200,93.456265
103.0,103,93.630025
63.0,63,93.730203
200.0,200,94.061648
200.0,200,94.396614
200.0,200,94.743239
200.0,200,95.076785
200.0,200,95.438829
200.0,200,95.770103
200.0,200,96.105972
200.0,200,96.426165
200.0,200,96.751716
200.0,200,97.103072
200.0,200,97.430722
200.0,200,97.784406
200.0,200,98.116431
200.0,200,98.460671
200.0,200,98.828187
200.0,200,99.15496
200.0,200,99.512064
200.0,200,99.836435
200.0,200,100.16637
200.0,200,100.515774
200.0,200,100.860576
200.0,200,101.203712
200.0,200,101.531844
200.0,200,101.862042
200.0,200,102.207576
200.0,200,102.553476
200.0,200,102.88907
200.0,200,103.221798
200.0,200,103.551749
200.0,200,103.891047
200.0,200,104.221188
200.0,200,104.569969
200.0,200,104.90233
200.0,200,105.232613
200.0,200,105.573085
200.0,200,105.91124
200.0,200,106.250731
200.0,200,106.599251
200.0,200,106.92482
36.0,36,106.987944
28.0,28,107.041537
200.0,200,107.379444
200.0,200,107.704312
200.0,200,108.040667
200.0,200,108.380038
200.0,200,108.71338
200.0,200,109.04003
200.0,200,109.367444
200.0,200,109.703903
200.0,200,110.036389
200.0,200,110.376853
200.0,200,110.724207
200.0,200,111.050355
200.0,200,111.392735
200.0,200,111.715907
200.0,200,112.050866
200.0,200,112.384808
13.0,13,112.407873
200.0,200,112.734302
200.0,200,113.069502
200.0,200,113.401685
200.0,200,113.736271
200.0,200,114.061378
200.0,200,114.38206
200.0,200,114.733248
200.0,200,115.061383
200.0,200,115.413361
200.0,200,115.744761
200.0,200,116.070785
200.0,200,116.414499
200.0,200,116.758188
200.0,200,117.105217
200.0,200,117.450011
200.0,200,117.783454
200.0,200,118.123525
200.0,200,118.453865
200.0,200,118.816353
200.0,200,119.145043
200.0,200,119.474839
200.0,200,119.81308
200.0,200,120.140686
200.0,200,120.482946
200.0,200,120.812046
200.0,200,121.157614
200.0,200,121.521456
200.0,200,121.853494
200.0,200,122.200851
200.0,200,122.559043
200.0,200,122.895515
200.0,200,123.231659
200.0,200,123.567616
200.0,200,123.913568
200.0,200,124.244618
200.0,200,124.584819
200.0,200,124.930428
200.0,200,125.252433
200.0,200,125.591991
200.0,200,125.914735
200.0,200,126.238479
200.0,200,126.578412
200.0,200,126.908328
200.0,200,127.241252
200.0,200,127.576877
200.0,200,127.937366
200.0,200,128.277901
200.0,200,128.629508
200.0,200,128.976721
200.0,200,129.307935
200.0,200,129.638054
200.0,200,129.981215
200.0,200,130.32009
200.0,200,130.663466
200.0,200,130.992169
200.0,200,131.319525
200.0,200,131.706625
200.0,200,132.05253
200.0,200,132.401862
200.0,200,132.750441
200.0,200,133.079201
200.0,200,133.433958
200.0,200,133.765323
200.0,200,134.101726
200.0,200,134.425423
200.0,200,134.757489
200.0,200,135.092326
200.0,200,135.418471
200.0,200,135.788402
200.0,200,136.135258
200.0,200,136.471047
200.0,200,136.822593
200.0,200,137.147308
200.0,200,137.489426
200.0,200,137.837756
200.0,200,138.164907
200.0,200,138.505762
200.0,200,138.830296
200.0,200,139.176043
200.0,200,139.510851
200.0,200,139.852374
200.0,200,140.198289
200.0,200,140.558218
200.0,200,140.897513
200.0,200,141.216832
200.0,200,141.540727
200.0,200,141.873061
200.0,200,142.198606
200.0,200,142.544788
200.0,200,142.871745
200.0,200,143.192703
200.0,200,143.537369
200.0,200,143.867721
200.0,200,144.202618
200.0,200,144.546501
200.0,200,144.867512
200.0,200,145.212535
200.0,200,145.541858
200.0,200,145.878147
200.0,200,146.20249
200.0,200,146.549282
200.0,200,146.877092
200.0,200,147.200758
200.0,200,147.547911
200.0,200,147.884154
200.0,200,148.213588
200.0,200,148.584122
200.0,200,148.908506
200.0,200,149.246969
200.0,200,149.583394
200.0,200,149.914968
200.0,200,150.255138
200.0,200,150.585925
200.0,200,150.923854
200.0,200,151.283722
60.0,60,151.384311
41.0,41,151.451905
200.0,200,151.796567
200.0,200,152.132016
200.0,200,152.46114
200.0,200,152.815196
200.0,200,153.146654
200.0,200,153.493084
200.0,200,153.824765
200.0,200,154.159464
200.0,200,154.517833
200.0,200,154.844389
200.0,200,155.181787
200.0,200,155.527703
200.0,200,155.87002
200.0,200,156.212347
200.0,200,156.546239
200.0,200,156.88397
200.0,200,157.215626
200.0,200,157.54495
200.0,200,157.890043
200.0,200,158.217959
200.0,200,158.587432
200.0,200,158.914646
200.0,200,159.238843
200.0,200,159.574496
200.0,200,159.900577
200.0,200,160.243312
