num_frames,fitness,loss
25,0.0,
50,0.0,
75,12.0,
100,17.0,
125,17.0,
150,20.5,
175,18.0,
200,18.0,
225,20.0,
250,23.5,
275,22.0,
300,11.5,
325,15.0,
350,19.0,
375,10.0,
400,20.0,
425,15.0,
450,29.0,
475,13.666666666666666,
500,13.666666666666666,
525,13.666666666666666,
550,17.0,
575,17.0,
600,21.0,
625,21.0,
650,27.0,
675,26.0,
700,26.0,
725,14.0,
750,17.5,
775,20.0,
800,30.0,
825,21.0,
850,17.0,
875,15.0,
900,15.0,
925,23.0,
950,17.0,
975,16.0,
1000,11.0,
1025,17.5,
1050,14.0,
1075,14.0,
1100,15.0,
1125,19.0,
1150,19.0,
1175,19.5,
1200,19.5,
1225,19.5,
1250,27.0,
1275,45.5,
1300,26.0,
1325,26.0,
1350,13.5,
1375,13.5,
1400,13.5,
1425,20.666666666666668,
1450,27.0,
1475,10.0,
1500,13.0,
1525,17.0,
1550,11.0,
1575,11.0,
1600,14.0,
1625,14.0,
1650,43.5,
1675,27.333333333333332,
1700,27.333333333333332,
1725,13.75,
1750,11.0,
1775,11.0,
1800,11.0,
1825,17.0,
1850,17.0,
1875,27.0,
1900,30.0,
1925,22.0,
1950,22.0,
1975,16.0,
2000,51.0,
2025,14.0,
2050,31.0,
2075,19.0,
2100,19.0,
2125,19.0,
2150,24.0,
2175,21.0,
2200,22.0,
2225,10.0,
2250,13.0,
2275,12.0,
2300,18.0,
2325,15.0,
2350,14.0,
2375,21.0,
2400,52.0,
2425,52.0,
2450,10.0,
2475,20.0,
2500,20.0,
2525,20.0,
2550,43.5,
2575,43.5,
2600,22.0,
2625,32.5,
2650,32.5,
2675,21.0,
2700,21.0,
2725,22.5,
2750,55.0,
2775,20.0,
2800,20.0,
2825,43.0,
2850,12.0,
2875,27.0,
2900,33.0,
2925,26.5,
2950,14.0,
2975,14.0,
3000,8.0,
3025,21.0,
3050,17.5,
3075,17.5,
3100,17.5,
3125,17.5,
3150,17.5,
3175,66.0,
3200,28.5,
3225,28.5,
3250,28.5,
3275,34.0,
3300,34.0,
3325,34.0,
3350,12.0,
3375,12.0,
3400,38.0,
3425,38.0,
3450,38.0,
3475,86.0,
3500,21.0,
3525,21.0,
3550,21.0,
3575,59.0,
3600,59.0,
3625,59.0,
3650,59.0,
3675,59.0,
3700,59.0,
3725,59.0,
3750,59.0,
3775,59.0,
3800,59.0,
3825,53.0,
3850,53.0,
3875,53.0,
3900,53.0,
3925,53.0,
3950,53.0,
3975,124.0,
4000,124.0,
4025,124.0,
4050,124.0,
4075,124.0,
4100,124.0,
4125,124.0,
4150,124.0,
4175,124.0,
4200,169.0,
4225,169.0,
4250,169.0,
4275,169.0,
4300,169.0,
4325,169.0,
4350,169.0,
4375,169.0,
4400,169.0,
4425,169.0,
4450,196.0,
4475,196.0,
4500,196.0,
4525,196.0,
4550,70.0,
4575,70.0,
4600,70.0,
4625,70.0,
4650,70.0,
4675,70.0,
4700,148.0,
4725,148.0,
4750,148.0,
4775,148.0,
4800,148.0,
4825,199.0,
4850,199.0,
4875,199.0,
4900,199.0,
4925,199.0,
4950,150.0,
4975,150.0,
5000,150.0,
5025,112.0,
5050,112.0,
5075,112.0,
5100,112.0,
5125,112.0,
5150,112.0,
5175,126.0,
5200,126.0,
5225,126.0,
5250,126.0,
5275,126.0,
5300,126.0,
5325,126.0,
5350,126.0,
5375,39.0,
5400,39.0,
5425,39.0,
5450,39.0,
5475,39.0,
5500,107.0,
5525,107.0,
5550,107.0,
5575,107.0,
5600,107.0,
5625,107.0,
5650,107.0,
5675,107.0,
5700,199.0,
5725,66.0,
5750,66.0,
5775,66.0,
5800,192.0,
5825,192.0,
5850,192.0,
5875,192.0,
5900,172.0,
5925,172.0,
5950,172.0,
5975,172.0,
6000,172.0,
6025,172.0,
6050,172.0,
6075,172.0,
6100,122.0,
6125,122.0,
6150,122.0,
6175,93.0,
6200,93.0,
6225,93.0,
6250,93.0,
6275,93.0,
6300,93.0,
6325,93.0,
6350,93.0,
6375,93.0,
6400,93.0,
6425,93.0,
6450,93.0,
6475,151.0,
6500,151.0,
6525,151.0,
6550,151.0,
6575,151.0,
6600,151.0,
6625,151.0,
6650,151.0,
6675,151.0,
6700,151.0,
6725,151.0,
6750,151.0,
6775,151.0,
6800,199.0,
6825,199.0,
6850,199.0,
6875,199.0,
6900,170.0,
6925,170.0,
6950,170.0,
6975,170.0,
7000,170.0,
7025,170.0,
7050,170.0,
7075,170.0,
7100,199.0,
7125,199.0,
7150,199.0,
7175,199.0,
7200,199.0,
7225,199.0,
7250,153.0,
7275,153.0,
7300,153.0,
7325,153.0,
7350,153.0,
7375,153.0,
7400,153.0,
7425,153.0,
7450,153.0,
7475,133.0,
7500,133.0,
7525,133.0,
7550,133.0,
7575,133.0,
7600,133.0,
7625,133.0,
7650,133.0,
7675,133.0,
7700,133.0,
7725,133.0,
7750,133.0,
7775,133.0,
7800,133.0,
7825,133.0,
7850,133.0,
7875,133.0,
7900,199.0,
7925,199.0,
7950,199.0,
7975,199.0,
8000,199.0,
8025,199.0,
8050,160.0,
8075,160.0,
8100,199.0,
8125,199.0,
8150,199.0,
8175,199.0,
8200,199.0,
8225,199.0,
8250,199.0,
8275,199.0,
8300,199.0,
8325,199.0,
8350,199.0,
8375,199.0,
8400,199.0,
8425,199.0,
8450,199.0,
8475,199.0,
8500,199.0,
8525,199.0,
8550,199.0,
8575,199.0,
8600,199.0,
8625,199.0,
8650,199.0,
8675,199.0,
8700,199.0,
8725,199.0,
8750,172.0,
8775,172.0,
8800,172.0,
8825,172.0,
8850,172.0,
8875,172.0,
8900,199.0,
8925,199.0,
8950,199.0,
8975,199.0,
9000,199.0,
9025,196.0,
9050,196.0,
9075,196.0,
9100,199.0,
9125,199.0,
9150,199.0,
9175,199.0,
9200,199.0,
9225,199.0,
9250,199.0,
9275,199.0,
9300,199.0,
9325,172.0,
9350,172.0,
9375,96.0,
9400,96.0,
9425,96.0,
9450,96.0,
9475,96.0,
9500,96.0,
9525,96.0,
9550,96.0,
9575,96.0,
9600,96.0,
9625,96.0,
9650,96.0,
9675,96.0,
9700,96.0,
9725,96.0,
9750,199.0,
9775,199.0,
9800,199.0,
9825,199.0,
9850,199.0,
9875,199.0,
