#{"t_start": 1620057991.9479764, "env_id": "LunarLander-v2"}
r,l,t
-290.400307,74,2.200685
-54.900918,88,2.407747
-321.17221,94,2.62543
-273.416239,104,2.862556
-234.824846,117,3.136938
-151.83593,81,3.334468
-95.741709,81,3.526158
-157.871969,150,3.887963
-148.632529,195,4.381737
-130.620895,84,4.611943
-72.323622,201,5.124947
9.297487,1000,8.966727
-124.489993,255,9.727673
-203.340295,199,10.576422
-218.272312,146,11.112257
10.109836,110,11.548576
-224.22555,267,12.796655
-249.601152,164,13.43506
-92.644958,264,14.323612
-78.150409,167,14.931694
-20.275217,193,15.4763
178.539831,1000,19.193679
-185.536894,263,20.088887
-150.464209,166,20.630278
-265.323571,251,21.558656
24.642366,271,22.634739
-113.935768,178,23.251426
-235.04075,261,24.163951
-205.990301,259,25.107756
3.203156,252,26.036619
-255.271813,340,27.407027
-161.586876,406,29.016202
-215.214082,283,30.002892
-151.373325,172,30.525143
-22.055999,232,31.293347
180.650446,1000,35.063571
-176.37936,190,35.650955
21.049269,218,36.370157
8.673719,157,36.883229
-46.355853,149,37.411979
-187.786285,264,38.483113
70.987722,1000,43.336866
-183.97772,189,44.049587
-185.072466,157,44.637803
304.797243,556,46.474008
35.463784,198,47.211999
-8.478783,164,47.813112
-137.933733,150,48.362866
20.467954,198,49.07251
269.570804,416,50.563052
3.024744,190,51.165307
-154.139997,206,51.780313
280.708078,471,53.406993
-151.282423,174,53.994792
-3.855367,152,54.506118
55.624463,232,55.23487
266.40894,377,56.483095
-159.620758,130,56.89075
22.632188,186,57.419945
312.796717,217,58.002022
65.708882,149,58.423613
-35.784402,186,59.038523
48.533317,192,59.562056
-160.48589,128,59.912128
-0.72811,192,60.446146
29.22995,261,61.257385
32.074477,200,61.955274
3.485889,186,62.501495
-2.653981,98,62.821719
-48.249257,201,63.62667
-137.162421,145,64.041678
79.560266,150,64.509791
55.628678,187,65.156651
-27.454514,292,66.16731
-199.657059,208,66.939266
22.959432,263,67.786031
10.00859,209,68.412796
-164.09628,157,68.956524
-29.627733,163,69.580384
20.828979,212,70.157366
-18.971475,185,70.727288
-12.416961,163,71.193682
31.037407,199,71.760814
141.400236,685,74.118184
15.28442,259,75.009704
208.64063,475,76.814167
-13.074909,240,77.720124
9.011322,221,78.519889
28.696931,221,79.31874
273.590162,342,80.627351
221.413471,461,82.353398
15.549356,307,83.440289
-4.150187,348,84.658562
-23.344182,165,85.153033
32.791851,219,86.030569
-37.575649,149,86.533597
254.532718,354,87.814368
46.472067,164,88.399316
199.110074,539,91.030652
235.787931,534,93.35036
9.615141,213,94.191601
216.578566,557,97.052204
32.9529,160,97.637552
1.85863,335,98.75512
-34.386134,224,99.751389
206.616358,518,101.998126
-18.070027,210,102.806829
-203.981358,167,103.532614
27.769719,169,104.205559
-154.923165,206,105.041054
265.901107,367,107.746967
-17.627789,292,109.082279
5.114521,220,109.930348
30.206185,166,110.481735
42.208577,271,111.649
-45.546652,155,112.183235
6.94707,224,113.073915
1.586874,169,113.806046
28.439474,272,115.463758
24.622752,384,116.934944
205.839732,619,119.645746
-5.218721,235,120.479172
9.852528,304,121.831487
-54.370144,704,125.867213
173.945544,751,129.299318
28.346436,195,130.533287
231.991326,467,132.408609
-14.896456,308,133.585269
32.284752,181,134.457854
-12.932171,302,135.813739
-2.542607,316,137.064217
4.63336,301,138.258045
257.07311,521,140.384516
26.806681,193,141.35863
214.60458,437,143.160365
19.146601,203,143.861281
-139.463809,163,144.588478
227.447098,476,146.55227
76.535792,176,147.124114
