#{"t_start": 1620058740.7433107, "env_id": "MountainCarContinuous-v0"}
r,l,t
-48.538853,999,1.663387
-44.476753,999,3.292916
-37.771237,999,4.98769
-34.894679,999,6.657799
-25.796326,999,8.360158
-23.952975,999,10.055735
-17.994769,999,11.774503
-16.184477,999,13.479191
-13.030588,999,15.252052
-10.310443,999,17.006989
-8.893204,999,18.720781
-7.108319,999,20.446186
-6.243055,999,22.128005
-4.890264,999,23.79261
-4.293513,999,25.459655
-3.254818,999,27.162806
-2.81282,999,28.886493
-2.52041,999,30.607607
-1.937284,999,32.313153
-1.705069,999,34.031347
-1.485477,999,35.728232
-1.285521,999,37.454212
-1.059678,999,39.168133
-0.849192,999,40.901975
-0.734313,999,42.640036
-0.618588,999,44.37992
-0.454718,999,46.150137
-0.416676,999,47.882143
-0.337396,999,49.589655
-0.307114,999,51.282212
-0.269943,999,52.969916
-0.225754,999,54.776063
-0.190455,999,56.437639
-0.147318,999,58.0841
-0.131671,999,59.750226
-0.104855,999,61.413258
-0.094272,999,63.094382
-0.080985,999,64.765801
-0.062086,999,66.414489
-0.054216,999,68.102796
-0.051415,999,69.750149
-0.045616,999,71.412048
-0.040271,999,73.087094
-0.036543,999,74.724318
-0.029692,999,76.338396
-0.026244,999,77.996568
-0.02392,999,79.678375
-0.021605,999,81.33462
-0.021458,999,83.002119
-0.018482,999,84.699479
-0.017841,999,86.336309
-0.015915,999,88.012518
-0.015252,999,89.632636
-0.014371,999,91.261523
-0.012938,999,92.887965
-0.011376,999,94.529356
-0.01795,999,96.177262
-0.011398,999,97.814694
-0.011931,999,99.455773
-0.011072,999,101.119659
-0.011959,999,102.831402
-0.010863,999,104.541605
-0.008908,999,106.199754
-0.009171,999,107.889759
-0.007658,999,109.557416
-0.006947,999,111.234323
-0.007359,999,112.841596
-0.006133,999,114.483948
-0.007924,999,116.09228
-0.006105,999,117.708629
-0.005415,999,119.312627
-0.00708,999,120.941614
-0.006088,999,122.573721
-0.005172,999,124.186592
-0.008765,999,125.827031
-0.00482,999,127.433578
-0.005913,999,129.038271
-0.004567,999,130.63405
-0.005013,999,132.271518
-0.0047,999,133.903398
-0.003754,999,135.528974
-0.004702,999,137.16486
-0.005556,999,138.77377
-0.003643,999,140.435357
-0.006144,999,142.088002
-0.003541,999,143.706449
-0.005136,999,145.33979
-0.005324,999,146.981981
-0.003672,999,148.609407
-0.00392,999,150.240447
-0.003782,999,151.888103
-0.005524,999,153.493735
-0.00506,999,155.113349
-0.003348,999,156.741286
-0.006722,999,158.365606
-0.004925,999,159.965315
-0.003607,999,161.558945
-0.005443,999,163.179811
-0.00323,999,164.816871
-0.006043,999,166.458973
