#{"t_start": 1620063072.6349607, "env_id": "Pendulum-v0"}
r,l,t
-1786.114598,200,0.433419
-1755.639868,200,0.828599
-1649.350213,200,1.225402
-1809.692639,200,1.658215
-1456.851763,200,2.087589
-1505.785598,200,2.520986
-1495.481312,200,2.926805
-1554.399228,200,3.315461
-1810.856838,200,3.740237
-1701.321665,200,4.150055
-1706.630697,200,4.576223
-1820.198766,200,5.007491
-1688.481489,200,5.431217
-1846.311366,200,5.858227
-1656.227492,200,6.246909
-1688.220009,200,6.644421
-1788.506065,200,7.047729
-1638.28092,200,7.431905
-1765.733611,200,7.829126
-1747.345285,200,8.239803
-1785.812621,200,8.657345
-1795.153759,200,9.057608
-1635.043513,200,9.443245
-1822.474821,200,9.8705
-1680.392008,200,10.28329
-1602.53006,200,10.742761
-1619.969972,200,11.151653
-1629.057274,200,11.535181
-1670.869118,200,11.959712
-1751.826182,200,12.436856
-1804.079874,200,12.863337
-1806.532083,200,13.262928
-1764.005515,200,13.653302
-1666.053552,200,14.09373
-1805.802075,200,14.485705
-1762.974649,200,14.892142
-1453.325014,200,15.301761
-1539.975696,200,15.718098
-1624.673482,200,16.149868
-1836.359585,200,16.532252
-1878.585762,200,16.950249
-1767.100884,200,17.359418
-1845.914379,200,17.753451
-1562.163843,200,18.15643
-1805.416359,200,18.561871
-1650.837472,200,18.975009
-1622.345995,200,19.379201
-1503.26925,200,19.78333
-1225.382157,200,20.195083
-1683.923206,200,20.592831
-848.543437,200,21.030103
-1434.743714,200,21.454137
-1608.109762,200,21.861461
-1870.39904,200,22.267975
-1824.288187,200,22.683563
-1669.093254,200,23.094111
-1568.910738,200,23.474151
-1851.73629,200,23.884429
-1658.268053,200,24.319171
-1824.298138,200,24.729302
-1772.692578,200,25.146449
-1685.497809,200,25.54169
-1548.800986,200,25.950192
-1713.103486,200,26.360971
-1333.082435,200,26.780545
-1678.195747,200,27.251359
-1337.69429,200,27.643409
-1386.248477,200,28.046933
-1005.526959,200,28.443291
-1345.14046,200,28.83012
-1147.316549,200,29.238327
-1625.177137,200,29.643821
-1468.45612,200,30.058884
-1613.994776,200,30.456014
-1700.10078,200,30.85668
-1353.536197,200,31.274331
-1601.08796,200,31.673987
-1289.229904,200,32.063767
-1725.444667,200,32.460069
-1474.2007,200,32.851956
-1489.142816,200,33.253177
-1258.291432,200,33.632195
-1602.945732,200,34.038153
-1718.766685,200,34.435799
-1456.453981,200,34.826838
-1507.126375,200,35.224235
-1828.404601,200,35.618629
-1841.084997,200,36.003675
-1532.030196,200,36.393767
-1676.46261,200,36.787249
