iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,3345,0.0011508464813232422,1,200,0,0,,
1,10935,0.09613418579101562,1,200,1,1,170.0,0.05385802469135803
2,20070,0.19370150566101074,1,200,2,1,200.0,0.15598958333333335
3,33366,0.3233635425567627,1,200,3,2,200.0,0.1962239583333333
4,47181,0.43439745903015137,1,200,4,3,200.0,0.3045833333333334
5,62024,0.5919756889343262,1,200,5,4,200.0,0.31809895833333335
6,79937,0.7580966949462891,1,200,6,5,200.0,0.3448697916666667
7,97181,0.8924314975738525,1,200,7,6,200.0,0.4248177083333333
8,114899,1.0189478397369385,1,200,8,7,200.0,0.40739583333333335
9,133501,1.1615872383117676,1,200,9,8,200.0,0.41973958333333333
10,151433,1.3003079891204834,1,200,10,9,200.0,0.4427604166666667
11,168746,1.436293601989746,1,200,11,10,200.0,0.4253125
12,186242,1.560060977935791,1,200,12,11,200.0,0.4091927083333333
13,206325,1.7020411491394043,1,200,13,12,200.0,0.4139583333333334
14,227336,1.844630479812622,1,200,14,13,200.0,0.48132812500000005
15,247469,1.9834349155426025,1,200,15,14,200.0,0.5054947916666667
16,266393,2.119211435317993,1,200,16,15,200.0,0.48263020833333337
17,284258,2.2517783641815186,1,200,17,16,200.0,0.45114583333333336
18,302518,2.3893063068389893,1,200,18,17,200.0,0.42356770833333335
19,324368,2.5515244007110596,1,200,19,18,200.0,0.43385416666666665
20,344501,2.746709108352661,1,200,20,19,200.0,0.52734375
21,362346,2.8759524822235107,1,200,21,20,200.0,0.48263020833333337
22,383506,3.0240707397460938,1,200,22,21,200.0,0.423046875
23,401714,3.1696505546569824,1,200,23,22,200.0,0.509375
24,423388,3.3146462440490723,1,200,24,23,200.0,0.43250000000000005
25,443828,3.4557945728302,1,200,25,24,200.0,0.5227604166666667
26,464413,3.609524965286255,1,200,26,25,200.0,0.49062500000000003
27,485060,3.7515134811401367,1,200,27,26,200.0,0.49440104166666665
28,505571,3.894710063934326,1,200,28,27,200.0,0.496015625
