iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,12739,0.0012652873992919922,1,109,0,0,,
0,12739,0.0012993812561035156,2,41,0,0,,
1,23992,0.4257025718688965,1,64,1,1,-414.41978607059747,0.8794971449199681
1,23992,0.4257206916809082,2,86,1,1,-412.32597063806975,0.8801061245742684
2,36461,0.8913309574127197,2,70,2,1,-329.56082833342145,0.7497300216734974
2,36461,0.8913452625274658,1,80,2,1,-197.1007289788559,0.8486863106359416
3,48000,1.2829780578613281,2,78,3,1,-276.34560787542546,0.7778034226927573
3,48000,1.2829885482788086,1,50,3,2,-254.37089966753757,0.7933930874163542
3,48000,1.2829947471618652,3,22,1,1,,
4,59933,1.7981035709381104,1,53,4,3,-248.72505726662425,0.7730586872203633
4,59933,1.7981140613555908,2,47,4,1,-192.10141820111903,0.820028556736159
4,59933,1.7981204986572266,3,35,2,1,-129.70965235267298,0.8717831445571819
4,59933,1.7981257438659668,4,16,1,1,,
5,71621,2.2452237606048584,2,43,5,1,-185.4498615943049,0.5795291122756416
5,71621,2.2452337741851807,4,25,2,1,-162.7932996971447,0.6023727273004581
5,71621,2.2452402114868164,1,49,5,1,-152.6613209545419,0.6125883559066966
5,71621,2.245245933532715,3,33,3,2,-152.17812310386674,0.613075543050613
6,83074,2.6572043895721436,4,49,3,2,-170.01951119120272,0.5212910946379848
6,83074,2.6572372913360596,1,36,6,2,-166.58105539460098,0.5252230967933219
6,83074,2.6572728157043457,3,45,4,3,-160.0982208544124,0.5326364593294659
6,83074,2.657283067703247,2,20,6,1,-137.7135446860785,0.5582341695072142
7,94884,3.0742859840393066,2,38,7,2,-220.81095143767507,0.6612763642476327
7,94884,3.074296236038208,1,14,7,3,-192.34703704670608,0.7050977284694641
7,94884,3.0743229389190674,3,10,5,4,-148.11152680047093,0.7732001116980287
7,94884,3.074328899383545,4,87,4,1,-118.12830376021459,0.8193605139302794
8,107181,3.48884916305542,2,41,8,3,-169.3947908956674,0.5458929483805888
8,107181,3.488859176635742,1,11,8,1,-145.6930500834094,0.572705472641752
8,107181,3.488865613937378,4,70,5,2,-137.52778665840611,0.58194240276498
8,107181,3.4888713359832764,3,25,6,1,-118.77540692140556,0.6031559769338799
8,107181,3.488877058029175,5,3,1,1,,
9,120170,4.008336067199707,2,35,9,4,-237.63771051548966,0.8027294991194455
9,120170,4.008347034454346,4,65,6,3,-145.70796949515685,0.8403991754923078
9,120170,4.0083534717559814,1,7,9,1,-137.23563943254067,0.8438708477502797
9,120170,4.008359670639038,3,28,7,2,-135.0541589240506,0.8447647441526458
9,120170,4.0083653926849365,5,16,2,1,-112.0799936599101,0.8541787744852822
10,133660,5.226166009902954,4,56,7,4,-167.42210817561087,0.6856169254892558
10,133660,5.226197719573975,2,29,10,5,-167.32490395520063,0.6857059098280692
10,133660,5.2262043952941895,1,8,10,2,-162.7267154717521,0.6899152616464573
10,133660,5.226210355758667,5,24,3,2,-137.39031599492702,0.7131091388859558
10,133660,5.226216077804565,3,33,8,1,-104.06846707184742,0.7436131919192985
11,147363,5.804185390472412,4,38,8,5,-152.37934312149943,0.7061982446703633
11,147363,5.804201602935791,2,40,11,6,-139.4275981265476,0.7247977253948946
11,147363,5.804212808609009,3,34,9,2,-136.58246837074356,0.7288835019502926
11,147363,5.804222583770752,1,9,11,1,-130.45547539421307,0.7376822304467797
11,147363,5.804232358932495,5,29,4,1,-87.9827724245448,0.7986755730821534
12,160272,6.352973222732544,4,21,9,6,-191.01067171595065,0.6389679725781225
12,160272,6.352983713150024,2,28,12,7,-173.3933357319582,0.6592704037008513
12,160272,6.35299015045166,1,20,12,2,-162.83038074341516,0.6714432808204248
12,160272,6.352996110916138,3,44,10,3,-117.10373016677221,0.7241392261466031
12,160272,6.353002071380615,5,30,5,2,-115.2797654755157,0.7262411851231573
12,160272,6.353022336959839,6,6,1,1,,
