iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,40000,0.0014011859893798828,1,200,0,0,,
1,80000,0.6417288780212402,1,200,1,1,-1365.9633030044342,0.4097237551203513
2,120000,1.292792797088623,1,200,2,1,-1286.0682881995738,0.4358522615083104
3,160000,1.9293861389160156,1,200,3,1,-1262.5417616107547,0.4658061540593504
4,200000,2.5957162380218506,1,200,4,2,-1301.2912717063161,0.36611876761621803
5,240000,3.207098960876465,1,200,5,3,-1284.3335454877506,0.45469254135354986
6,280000,3.832426071166992,1,200,6,1,-1259.1536900401632,0.4390471266837543
7,320000,4.477778434753418,1,200,7,1,-1166.8799885439248,0.49819946342579446
8,360000,5.092705011367798,1,200,8,2,-1250.6209658137798,0.43553980685964044
9,400000,5.683375120162964,1,200,9,3,-1201.068412048357,0.45901868263926615
10,440000,6.276706695556641,1,200,10,4,-1234.8407380623378,0.47738419548768124
11,480000,6.889830589294434,1,200,11,5,-1235.6217085062283,0.48632105256346636
12,520000,7.482945680618286,1,200,12,6,-1206.9990960756988,0.5414286229058726
